出行|| 出去玩 顺利  回家 一路 顺利  四川 成都 上海 北京 顺利  出国 顺利  签证 能办  啥时候 签证 
工作|| 这份 工作  面试  啥时候 找到 工作  适合 工作  我能 找到 满意 工作  工作 顺利 我该 跳槽  跳槽  换个 工作 好点  迷茫 干什么  找到 满意 工作  这家 公司 会要  百度 新浪 面试  公司 能給 股票 嗎  涨工资  适合 工作 
投资|| 买 股票 赚钱  买 格力空调 赚钱  卖出 美的 空调 赚钱  买房子 合适  未来 房价 会降 涨  大盘 指数 会涨 大跌 大涨  赚钱  赚 钱  明天 后天 未来 赚钱  买 股票 基金 房子 黄金 比特币 数字 货币 盈利  收回 成本  套牢 解套  比特币 赚钱  沪 深 300 指数 2018 一月份 最高点  投资 赚钱  以太坊 未来 几天 走势  能发 发财  发财 
事业|| 做生意 顺利  创业 成功  创业  做 事情 成功  开个 饭店 酒吧 咖啡厅 成功  合伙 开 公司 
爱情|| 女友 爱  喜欢  我能 追到  男朋友 爱上  我能 找到 女朋友  复合  分手  相亲 成功  暗恋 喜欢  有人 喜欢  喜欢  能成   平玉昕会  姜东成 明天 说话  心上人 说话  姜东成 说话  哥哥 说话  人会  姜东成 找 说话   一段 感情  女友 怀孕  女友 几号 姨妈  测 多久 回心转意  找到 男朋友  找到 女朋友  分手 后会  近期 男友  我要 测 感情 
婚姻|| 婚姻  婚姻生活  出轨  出轨  外面 有人  老婆 怀孕  怀孕  怀上  婚姻 幸福  外面 有人  外面 有人  离婚  离婚  生个 小孩  女人  男人  变心  变心   真的 不爱  我姐 离婚  我姐 婚姻 好不好  婚姻生活  想 结婚 
健康|| 为啥 舒服  病  病 啥时候  病能  病  为啥 胃 疼  头发 为啥 掉  为啥 心脏 舒服  特别 累  晚上 做 噩梦   为啥  身体 虚弱  出院  手术 顺利  活多久  死亡  病能  住院  看病 看好  吃药  为啥 肚子疼  朋友 病能  妈妈 病能  爸爸 病能  爷爷 奶奶 病能  奶头 胳膊 心脏 腰 肚子 疼 为啥  臀 大腿 小腿 足 疼 痛 难受 恶心 想 吐 咳嗽  大腿 疼  腿疼  奶 头疼 厉害 
寻物|| 东西 不见 找到  钱包 不见 找到  手镯 衣服 鞋子 镜子 帽子 银行卡 身份证 护照 电脑 手机 丢 找 回来  手机 电脑 钱包 相机 偷 找 回来  衣服 文件 自行车 摩托车 电瓶车 电动车 车 不见 偷 找 回来  钥匙 丢 找 回来 
寻人|| 孩子 宝宝 走 丢  伯伯 叔叔 小姨 爷爷 奶奶 爸爸 妈妈 儿子 女儿 孙女 外 神女 侄女 侄儿 不见 找 回来  老婆 老公 妻子 女儿 儿子 丈夫 不见 回来  消失 不见   走 丢 回来 
杂事|| 离开 北京 
考试|| 考试 顺利  考个 第一名  挂科  期末考试 挂科  考试 
比赛|| 意大利 足球 甲级联赛 简称 意甲 尤文图斯   罗马     那不勒斯   佛罗伦萨   国际米兰   都灵   帕尔玛   维罗纳     AC 米兰   拉齐奥   热那亚   亚特兰大   卡利亚里   乌迪内斯   桑普多利亚     切沃       博洛尼亚     萨索洛     利沃诺     卡塔尼亚  英格兰 超级 联赛   简称 英超   曼城 利物浦 阿森纳 切尔西 曼联   埃弗顿   南安普顿 纽卡斯尔 托特纳姆 斯旺西         西布朗 阿斯顿 维拉 桑德兰 斯托克 城 西汉姆 联   赫尔城 富勒姆 诺维奇 加的夫 城 水晶宫   赢  德国 足球 甲级联赛 简称 德甲   多特蒙德 拜仁 慕尼黑 沙尔克 04 门兴格 拉 德巴赫 勒沃库森   斯图加特 汉诺威 96 沃尔夫斯堡 云达 不莱梅 纽伦堡   霍芬 海姆 弗赖堡 美因茨 奥格斯堡 汉堡   柏林 赫塔 科隆 凯泽斯劳 滕   赢  西班牙 甲级联赛 简称 意甲   皇家 马德里       巴塞罗那     瓦伦西亚     马拉加 马 竞   莱 万特 维拉 里尔 毕尔巴鄂     奥萨苏纳 赫塔菲   塞尔塔 梅里 亚   格拉纳 达 皇家 社会 埃尔切   巴列 卡诺 西班牙人     贝蒂斯   塞维利亚 巴拉 多利  法国 足球 甲级联赛 简称 法甲   巴黎 圣日耳曼 巴斯蒂亚 波尔多   圣埃蒂安 雷恩     里昂   马赛 里尔   阿雅克肖 摩纳哥   南特 尼斯       图卢兹 伊维恩     甘冈       索肖   蒙彼利埃 洛里昂   瓦朗谢 纳 兰斯  中超 中甲   广州 恒大 河南建业   山东 鲁能泰山 哈尔滨 毅腾   北京国安 广东 日之泉   贵州 茅台 重庆力帆   大连 阿尔滨 深圳 红 钻   广州 富力 沈阳 沈北   上海 申鑫 石家庄 永昌 俊豪   上海申花 北京 八喜   上海 上港 北京理工   辽宁 宏远 天津 松江   天津 康师傅 延边 长 白虎   杭州 金 绿城 湖南 湘涛   江苏 国信 舜天 湖北 华 凯尔   长春亚泰 成都 谢菲联   青岛 中 重庆 FC   武汉 卓尔 贵州 智诚   赢  球队 赢  队会 赢  法国队 赢  要输  冠军  中国队 冠军  围棋 下周 月 明年 后天 比赛 赢  游泳 跳远 马拉松 比赛 赢  我能 冠军  中国队 进前 10  亚运会 冠军  世界杯 冠军 亚军 前十名 
天气|| 明天 后天 大后天 天气  那天 晴天  下雨 下雪 晴天 太阳  明天 下雨 下雪 晴天 会下 暴雨 打雷  几天 下雨 暴雨 下雪 打雷 大雨  几天 天气 变冷 
